radius[km],depth[km],density[g/cm**3],vp[km/s],vs[km/s],qkappa,qmu,K[GPa],mu[GPa],pressure[GPa],temperature[K]
    4381.263,    1989.737,       5.048,      12.790,       6.836,57823,  407,  511.271577,  235.883982,   85.793284,    2222.102
    4391.267,    1979.733,       5.043,      12.777,       6.831,57823,  393,  509.580252,  235.346578,   85.285189,    2219.461
    4401.272,    1969.728,       5.038,      12.765,       6.827,57823,  379,  507.860446,  234.824730,   84.777445,    2216.816
    4411.277,    1959.723,       5.033,      12.752,       6.823,57823,  367,  506.127958,  234.306490,   84.269425,    2214.167
    4421.282,    1949.718,       5.028,      12.740,       6.818,57823,  355,  504.494791,  233.712630,   83.762002,    2211.513
    4431.287,    1939.713,       5.023,      12.727,       6.812,57823,  344,  502.866646,  233.114184,   83.256854,    2208.854
    4441.291,    1929.709,       5.018,      12.714,       6.807,57823,  334,  501.217156,  232.527254,   82.751602,    2206.190
    4451.296,    1919.704,       5.013,      12.702,       6.802,57823,  324,  499.548051,  231.947451,   82.247571,    2203.521
    4461.301,    1909.699,       5.008,      12.689,       6.797,57823,  315,  497.863855,  231.372525,   81.741018,    2200.846
    4471.306,    1899.694,       5.003,      12.676,       6.792,57823,  306,  496.168369,  230.800155,   81.233772,    2198.166
    4481.310,    1889.690,       4.998,      12.663,       6.787,57823,  299,  494.462449,  230.228734,   80.736504,    2195.480
    4491.315,    1879.685,       4.993,      12.649,       6.782,57823,  291,  492.746364,  229.662132,   80.234569,    2192.788
    4501.320,    1869.680,       4.988,      12.636,       6.777,57823,  285,  491.019275,  229.104078,   79.733374,    2190.088
    4511.325,    1859.675,       4.983,      12.623,       6.772,57823,  278,  489.284133,  228.552420,   79.234630,    2187.382
    4521.329,    1849.671,       4.978,      12.610,       6.768,57823,  273,  487.546489,  228.003128,   78.734459,    2184.669
    4531.334,    1839.666,       4.973,      12.597,       6.763,57823,  268,  485.810183,  227.454169,   78.235388,    2181.949
    4541.339,    1829.661,       4.968,      12.583,       6.758,57823,  263,  484.080488,  226.904742,   77.737385,    2179.221
    4551.344,    1819.656,       4.963,      12.570,       6.753,57823,  258,  482.360786,  226.354015,   77.239436,    2176.486
    4561.349,    1809.651,       4.958,      12.557,       6.749,57823,  254,  480.650904,  225.801286,   76.741970,    2173.743
    4571.353,    1799.647,       4.953,      12.544,       6.744,57823,  251,  478.949653,  225.246256,   76.245446,    2170.992
    4581.358,    1789.642,       4.948,      12.530,       6.739,57823,  248,  477.255525,  224.688711,   75.747204,    2168.234
    4591.363,    1779.637,       4.943,      12.517,       6.734,57823,  245,  475.567034,  224.128638,   75.252064,    2165.467
    4601.368,    1769.632,       4.937,      12.504,       6.729,57823,  242,  473.881626,  223.565921,   74.761386,    2162.693
    4611.373,    1759.627,       4.932,      12.491,       6.724,57823,  240,  472.196871,  223.000437,   74.267847,    2159.910
